% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.880174049e+05 +2.880174049e+05 +2.881412349e+05 +2.881412349e+05 -2.4513e+00 +5.3971e-01 +2.5298e+00 +3.5596e+00 +1.1817e+00 -2.8127e+00 -3.7170e+00 -5.0053e-01 +1.6947e+00 -2.0145e+00 +1.4732e+00 -2.0070e+00 +3.1079e+00 -6.7786e-01 -8.7207e-02 -3.2975e-01 -4.3050e+00 +2.4974e+00 -4.0397e+00 -3.0052e+00
7 +2.035168608e+05 +2.035168608e+05 +2.036406908e+05 +2.036406908e+05 +3.0933e+00 +2.1863e+00 -1.0142e+00 +2.4000e+00 +6.8439e-01 -4.7577e-04 +1.5453e+00 -4.4896e+00 +2.6266e+00 +2.3449e+00 +1.9663e-01 -4.0534e+00 -1.7054e+00 -2.2131e+00 +4.5248e+00 +1.5141e+00 -4.8622e-01 +2.4883e+00 +3.0434e+00 +3.3246e+00
16 +9.209846439e+04 +9.209846439e+04 +9.222229439e+04 +9.222229439e+04 -1.9932e+00 -1.2259e-01 +1.2559e+00 -1.2838e+00 +2.1739e+00 +1.6413e+00 +1.7607e+00 +2.0639e+00 +1.0068e+00 -4.5619e+00 +1.1300e+00 +3.1540e+00 +4.1861e-01 -1.8323e+00 -4.9007e+00 +6.5794e-01 -1.2211e+00 +2.8381e+00 +1.3108e+00 -1.0596e+00
510 +6.212190668e+04 +6.212190668e+04 +6.224573668e+04 +6.224573668e+04 +2.9823e+00 +2.3684e-01 -2.6638e+00 +2.4860e+00 +3.1607e-01 +4.5043e-01 -2.1959e+00 -3.5118e+00 +2.4542e-02 -1.2519e+00 -3.4322e-01 -1.4062e+00 +2.5210e+00 -4.3202e+00 +4.4658e+00 -3.1581e-01 -7.7097e-01 +1.2200e+00 +2.5064e-01 -3.9026e-01
875 +2.925466538e+04 +2.925466538e+04 +2.937849538e+04 +2.937849538e+04 +9.1590e-01 -1.7720e-01 -3.3559e-02 -1.5350e-02 +2.5603e+00 +1.6927e-02 -6.1191e-02 -2.3248e-02 +1.8522e+00 -3.5461e+00 +3.2861e+00 +1.8740e-02 -8.0059e-01 +5.2382e-02 +1.0281e+00 +2.0618e+00 +9.7404e-01 -3.6759e+00 +1.9306e-01 -2.9432e-01
2153 +1.558180593e+04 +1.558180593e+04 +1.570563593e+04 +1.570563593e+04 -1.7857e+00 -1.2894e+00 +9.3910e-01 -1.5959e+00 +7.7951e-01 -2.6829e-01 -2.6828e+00 +2.0506e+00 +1.7090e-01 -1.1828e+00 +8.0543e-01 +1.8860e+00 +2.1394e+00 -7.5713e-01 +2.2156e-01 +1.9818e+00 -2.5173e+00 +1.7250e+00 -2.2005e+00 +1.2068e-01
3234 +9.861681426e+03 +9.861681426e+03 +9.985511426e+03 +9.985511426e+03 -9.1969e-01 +1.5253e+00 +1.2559e+00 -1.2838e+00 +2.1739e+00 +6.4193e-01 -6.1191e-02 +5.1196e-02 +1.4247e-01 -3.0770e+00 -7.0618e-01 -1.4819e-01 -8.0059e-01 +5.2382e-02 +1.0281e+00 +2.0618e+00 +4.9725e-01 +2.4769e+00 -1.7005e+00 -1.2358e+00
4073 +6.268733164e+03 +6.268733164e+03 +6.392563164e+03 +6.392563164e+03 -1.7857e+00 -1.2894e+00 +9.3910e-01 -1.5959e+00 +7.6388e-01 -7.6417e-01 -6.1191e-02 -2.3248e-02 +1.4247e-01 +1.2515e-01 +2.3410e+00 +9.2436e-01 +2.8109e-01 +1.6583e+00 +2.2711e-01 -3.7071e-01 -8.2385e-01 +2.8310e-01 +3.5936e-01 +2.2487e-01
4335 +3.389122322e+03 +3.389122322e+03 +3.512952322e+03 +3.512952322e+03 -1.1981e+00 +2.9734e-01 +1.3258e+00 +1.2838e+00 +1.7393e-01 -7.6370e-01 -9.6328e-01 +7.4226e-01 +4.7697e-01 -6.5317e-02 -1.5528e+00 -4.0432e-01 -8.0059e-01 +5.2382e-02 -6.6559e-01 -5.9118e-01 -2.1550e+00 +1.9351e+00 -2.8665e-01 -2.3601e-01
4637 +2.138355380e+03 +2.138355380e+03 +2.262185380e+03 +2.262185380e+03 +9.7840e-01 -6.7720e-01 +3.9743e-01 +6.1847e-01 +1.6449e-01 -1.2028e+00 +1.1656e+00 +6.7531e-02 +3.9001e-01 -2.6916e+00 +1.4242e+00 +1.7517e+00 +7.2580e-01 +4.4596e-01 +1.1975e+00 +7.1824e-01 -6.7390e-01 +1.2041e+00 +1.9306e-01 -2.9432e-01
4954 +1.368870595e+03 +1.368870595e+03 +1.492700595e+03 +1.492700595e+03 -3.6348e-01 +6.6439e-01 +3.9743e-01 +6.1847e-01 +9.6205e-01 +1.6927e-02 -6.1191e-02 +7.4228e-01 +4.7697e-01 -1.9032e-01 -1.6153e+00 -4.0432e-01 -1.8556e+00 -7.2139e-01 -4.7874e-01 -3.7071e-01 -8.2385e-01 +2.8310e-01 +3.5936e-01 +2.2487e-01
6821 +7.732709078e+02 +7.732709078e+02 +8.971009078e+02 +8.971009078e+02 -3.6348e-01 +6.6439e-01 +3.9743e-01 +5.8722e-01 +9.6205e-01 +1.6927e-02 -6.1191e-02 +5.1196e-02 +1.4222e-01 -9.2482e-01 -8.3380e-01 +1.8618e-02 -8.0059e-01 +5.2382e-02 -1.1048e-01 -1.4923e-02 -1.1550e+00 -6.3502e-01 -1.1822e+00 -1.0596e+00
8170 +5.619232919e+02 +5.619232919e+02 +6.857532919e+02 +6.857532919e+02 -3.6348e-01 +6.6439e-01 +3.9743e-01 -1.5381e-02 +1.6449e-01 +9.5083e-02 -6.1191e-02 +5.1196e-02 +1.4222e-01 -9.2482e-01 -8.3380e-01 +1.8618e-02 -8.0059e-01 +5.2382e-02 -1.1048e-01 -1.4923e-02 -1.1472e+00 -6.3502e-01 -1.1822e+00 -1.0596e+00
