% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.289971845e+01 +8.289971845e+01 +1.236797185e+02 +1.236797185e+02 -1.7667e-01 -4.3932e-02 +3.8937e+00 -1.1382e+00 -2.6430e+00 +2.1327e+00 -4.8783e+00 +2.4813e+00 -2.6703e+00 +1.0376e+00 -3.1380e+00 +3.7639e+00 -1.9826e+00 -2.1078e+00 +9.5405e-01 -1.9706e+00 +3.2392e+00 -1.4140e+00 +3.5132e+00 -8.6751e-01
2326 +6.270662194e+01 +6.270662194e+01 +1.034866219e+02 +1.034866219e+02 +3.0398e-01 +2.7182e+00 -3.3691e+00 -1.2387e+00 -1.5949e+00 +6.4224e+00 +8.3133e-01 -2.3934e+00 +4.2753e+00 +8.4648e-02 +4.7734e+00 +4.8884e+00 +6.6962e-01 -3.3484e+00 +3.1082e+00 -3.9669e+00 -1.0457e+00 +9.9455e-01 +1.7709e-01 -2.6937e+00
8402 +3.979302228e+01 +3.979302228e+01 +8.057302228e+01 +8.057302228e+01 +1.2237e+00 +3.9014e+00 -4.1931e+00 -1.7024e+00 -1.0781e+00 +5.0000e+00 -4.4067e-01 -2.0594e+00 +2.6760e+00 +2.6834e+00 +3.0585e+00 +5.0000e+00 -6.4432e-01 -3.9465e+00 +4.4838e+00 -1.6010e+00 -1.2903e+00 -6.1892e-01 +1.2753e+00 -2.9591e+00
12901 +2.498514051e+01 +2.498514051e+01 +6.576514051e+01 +6.576514051e+01 -3.8923e-01 +4.3988e+00 -3.3536e+00 -5.0122e-01 -1.5906e+00 +5.0000e+00 -7.4938e-01 -2.5273e+00 +2.9967e+00 +1.8555e+00 +2.2000e+00 +3.9167e+00 -1.3636e+00 -3.2587e+00 +1.4004e+00 -9.9722e-01 -3.4170e-01 +8.7361e-01 +8.5490e-01 -1.7845e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.288635965e+01 +8.288635965e+01 +8.128635965e+01 +8.128635965e+01 +1.3962e+00 -1.4260e+00 -1.6923e+00 -4.4894e+00 +2.3098e+00 +3.7268e+00 -1.4869e+00 -2.6514e+00 +3.9244e-01 +1.2599e+00 -3.3938e-01 +3.8291e+00 -2.6983e+00 +3.4095e+00 +1.7943e+00 -1.1782e+00 +3.0257e-01 -4.4603e+00 +5.9250e-01 -4.7314e+00
2231 +5.768433478e+01 +5.768433478e+01 +5.608433478e+01 +5.608433478e+01 +2.7228e+00 -2.2977e+00 -2.6776e+00 -3.7491e-01 +2.4655e+00 -7.9062e-01 -3.2337e-01 +1.5061e+00 +3.9527e+00 -1.5866e+00 -1.0875e+00 -6.0008e-02 +3.2290e+00 -5.7020e+00 +3.0718e-01 -2.4944e-01 +2.7412e+00 +5.1445e-01 +4.2836e+00 -5.6726e-01
4716 +3.677068810e+01 +3.677068810e+01 +3.517068810e+01 +3.517068810e+01 +2.2930e+00 -4.6026e+00 -3.0579e+00 -3.1356e+00 +2.2752e+00 -5.6842e-01 +2.5342e+00 +1.4539e+00 +1.8592e+00 -3.5400e+00 +1.2834e+00 -1.3417e+00 +1.7046e+00 -2.9474e+00 +1.2903e+00 +8.0246e-01 +4.4993e+00 +3.2559e+00 +4.0739e+00 -1.4633e+00
7588 +2.456161295e+01 +2.456161295e+01 +2.296161295e+01 +2.296161295e+01 +2.2917e+00 -3.8005e+00 -4.3510e+00 -2.1493e+00 +1.8131e+00 +6.3167e-01 +3.0217e+00 -5.8816e-01 +2.3624e+00 -3.8577e+00 +1.4691e+00 +3.5014e-01 +1.0905e+00 -3.6757e+00 +4.1674e-01 +7.6040e-01 +3.8808e+00 +2.8440e+00 +4.8232e+00 -1.8704e+00
10816 +1.553167648e+01 +1.553167648e+01 +1.393167648e+01 +1.393167648e+01 +2.8085e+00 -5.8556e-01 -4.1918e+00 -1.1131e+00 +9.7495e-01 -2.1297e-02 +3.3630e+00 -1.1106e-01 +3.6212e+00 -4.0091e+00 +8.7018e-01 -6.7601e-01 +2.1882e+00 -2.8717e+00 +5.9705e-01 -2.7264e-01 +4.5301e+00 +2.1465e+00 +4.0980e+00 -5.4853e-01
11874 +9.961039201e+00 +9.961039201e+00 +8.361039201e+00 +8.361039201e+00 +2.7094e+00 -1.6232e+00 -4.5776e+00 -8.8197e-01 +1.2456e+00 -1.0274e+00 +2.2426e+00 +1.9767e-01 +3.8704e+00 -3.0736e+00 +1.7543e+00 +1.9740e-01 +3.0680e+00 -3.8142e+00 +3.0334e-01 +7.1212e-01 +4.2727e+00 +3.2555e+00 +3.9979e+00 -9.9381e-01
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.032006877e+01 +8.032006877e+01 -2.905199312e+02 -2.905199312e+02 -8.1367e-01 -1.7429e+00 -3.9650e+00 -4.4021e+00 -8.2908e-01 -1.0046e+00 -1.4504e+00 +4.1492e+00 -3.3167e+00 +8.7271e-02 -7.9905e-01 +4.3610e+00 +2.7694e+00 -2.6247e+00 -3.0972e+00 +1.9179e+00 -1.8788e+00 -3.1616e+00 +1.2882e+00 +2.9401e+00
1326 +6.112159423e+01 +6.112159423e+01 -3.097184058e+02 -3.097184058e+02 -2.9341e+00 -1.2069e+00 +4.3420e+00 +1.9957e+00 -2.6141e-01 -1.9540e+00 +1.2367e+00 +1.3029e+00 +3.3389e+00 -2.7550e+00 -2.1776e+00 -1.5500e+00 -3.0803e+00 -5.3847e-01 -2.4325e+00 -2.3179e-01 -2.9981e+00 -2.7706e+00 +5.8238e-02 -4.2423e+00
6657 +3.379463721e+01 +3.379463721e+01 -3.370453628e+02 -3.370453628e+02 -2.2559e+00 -1.1150e+00 +2.1467e+00 +1.7408e+00 -3.2880e+00 -2.5060e+00 +3.7816e-01 +7.4329e-01 +3.3103e+00 -1.2774e+00 -1.9963e+00 -2.1666e+00 -5.8687e+00 +7.7069e-01 +2.3396e+00 +2.8280e-01 -2.1678e+00 -2.3563e+00 +1.4784e+00 -9.6361e-01
7010 +2.332094946e+01 +2.332094946e+01 -3.475190505e+02 -3.475190505e+02 -2.0527e+00 -1.3185e+00 +4.1263e+00 +3.5118e+00 -2.5262e+00 -1.5532e+00 -7.8153e-01 +2.3976e+00 +4.7368e+00 -3.1171e+00 -2.4037e+00 -2.3622e+00 -5.0000e+00 +1.5372e+00 +1.6768e+00 +1.1895e+00 -5.0000e+00 -4.8997e+00 -5.5587e-01 -6.2993e-01
8319 +1.516641574e+01 +1.516641574e+01 -3.556735843e+02 -3.556735843e+02 -1.9140e+00 -6.6196e-01 +3.2977e+00 +3.1527e+00 -1.7136e+00 -1.4691e+00 +1.0208e+00 +8.4195e-01 +2.1197e+00 -1.5992e+00 -3.4136e+00 -2.0568e+00 -5.0000e+00 +3.3102e-01 +5.2925e-01 +2.9449e+00 -3.3861e+00 -4.2792e+00 -2.2156e-01 -3.7939e-01
12239 +9.993497903e+00 +9.993497903e+00 -3.608465021e+02 -3.608465021e+02 -1.0716e+00 +5.3698e-01 +2.8171e+00 +2.7540e+00 -2.1993e+00 -1.2226e+00 +1.3120e+00 +9.6354e-01 +3.7534e+00 -1.1532e+00 -3.0012e+00 -7.0634e-01 -4.3469e+00 +2.0208e-01 +1.3563e+00 +1.5728e+00 -3.4741e+00 -3.8577e+00 -1.6511e-01 +2.6458e-01
14269 +6.285987293e+00 +6.285987293e+00 -3.645540127e+02 -3.645540127e+02 -1.6713e+00 +4.2546e-02 +5.0000e+00 +2.1735e+00 -1.9719e+00 -1.5431e+00 +5.8871e-01 +1.1374e+00 +4.1162e+00 -1.4990e+00 -3.3316e+00 -1.1752e+00 -4.6157e+00 +5.3463e-01 +1.6527e+00 +1.6800e+00 -3.9031e+00 -3.9704e+00 -4.0537e-03 -7.6940e-01
% function evaluation | noise-free fitness - Fopt (-3.256000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.354482400e+01 +8.354482400e+01 +5.098482400e+01 +5.098482400e+01 +2.6702e+00 -4.6033e+00 -2.7624e+00 +4.2418e+00 +3.3382e+00 +2.7144e+00 +3.2621e+00 +3.6229e+00 -2.3983e+00 +2.5362e+00 -1.3943e-01 -3.9208e-01 -3.3705e+00 -4.2327e-01 -2.6903e+00 +3.1310e+00 -3.7350e+00 +3.0534e+00 -3.5835e+00 +1.6128e+00
2286 +5.927862842e+01 +5.927862842e+01 +2.671862842e+01 +2.671862842e+01 +3.7405e+00 +4.1733e+00 +4.6135e+00 +7.7916e-01 -8.8019e-01 +3.6825e+00 +1.3136e+00 -4.6803e+00 -2.7278e+00 -1.3591e-01 -5.2492e+00 -3.0619e+00 -8.2159e-01 +3.3345e+00 +2.2427e+00 +4.4869e+00 -3.9960e+00 +5.5531e-01 -4.6712e+00 -1.1592e+00
3980 +3.055591062e+01 +3.055591062e+01 -2.004089375e+00 -2.004089375e+00 +5.3737e+00 +4.2544e+00 +5.5180e+00 +4.1952e-01 +3.3659e+00 +1.6277e+00 -4.1190e-01 -5.2240e+00 -4.1307e+00 +5.8846e-01 -5.1110e-01 -1.2895e+00 +6.1040e-01 +5.3049e+00 +1.0668e+00 +4.3300e+00 -2.3811e+00 -8.2657e-01 +2.1638e-01 -4.2781e-01
7996 +2.509176739e+01 +2.509176739e+01 -7.468232611e+00 -7.468232611e+00 +4.2188e+00 +4.8566e+00 +4.8478e+00 -8.6306e-01 +3.2791e+00 +1.5038e+00 +1.0051e-01 -4.0053e+00 -3.9276e+00 +1.2005e-01 -1.6772e+00 -2.8988e+00 -2.2456e-02 +4.8024e+00 +2.1542e+00 +3.4494e+00 -2.7265e+00 -2.2841e+00 -1.3091e+00 -1.9979e+00
9576 +1.414722940e+01 +1.414722940e+01 -1.841277060e+01 -1.841277060e+01 +3.7690e+00 +4.1625e+00 +5.0000e+00 +4.4332e-01 +1.3891e+00 +2.7404e+00 +6.7531e-01 -3.9959e+00 -4.4059e+00 -3.0267e-01 -1.4933e+00 -2.1578e+00 +1.0188e+00 +4.1587e+00 +3.1353e+00 +4.0971e+00 -3.2786e+00 -4.2955e-01 -2.6857e-01 -4.7547e-01
9879 +9.371734996e+00 +9.371734996e+00 -2.318826500e+01 -2.318826500e+01 +3.6822e+00 +4.1236e+00 +5.0000e+00 +9.9841e-01 +1.5344e+00 +3.1775e+00 +7.6612e-01 -2.7299e+00 -4.3916e+00 -3.5783e-01 -2.2016e+00 -2.5367e+00 +4.2001e-01 +4.1034e+00 +2.2032e+00 +4.7680e+00 -3.0800e+00 -5.3514e-01 -1.6531e-01 -2.5512e-01
12345 +6.146533353e+00 +6.146533353e+00 -2.641346665e+01 -2.641346665e+01 +3.5178e+00 +4.3850e+00 +5.0000e+00 +7.2824e-01 +2.6161e+00 +3.3084e+00 +1.3095e+00 -2.8426e+00 -4.1398e+00 -4.4836e-01 -2.9660e+00 -2.8563e+00 +8.6348e-01 +3.0852e+00 +3.1218e+00 +4.9525e+00 -3.0778e+00 -1.5068e+00 -1.6464e+00 -1.4693e+00
