% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
221 +3.902449394e+02 +3.902449394e+02 +4.679049394e+02 +4.679049394e+02 +1.4557e+00 +1.6096e-01 +1.6263e-01 -3.3100e-01 +2.0994e+00 -6.1646e-01 -1.3700e+00 -4.8122e-01 -4.2950e+00 -3.9119e+00 +4.6544e+00 +2.4803e-01 -2.8462e+00 -3.1872e-01 -4.3433e+00 +1.3223e+00 -2.3007e+00 -2.4678e+00 +3.1528e+00 -2.9209e+00
491 +2.452057335e+02 +2.452057335e+02 +3.228657335e+02 +3.228657335e+02 +4.5059e+00 -6.1638e-01 +4.6784e-01 +4.1721e+00 -6.9333e-01 -2.9288e+00 +2.9003e+00 +1.6261e+00 -1.6388e+00 -4.9037e+00 +2.9116e+00 +1.8762e-01 +2.5362e-01 -9.5549e-01 -2.2792e+00 -7.8895e-01 -1.5967e-01 -3.4796e+00 +2.7621e+00 -5.0000e+00
2108 +1.558037878e+02 +1.558037878e+02 +2.334637878e+02 +2.334637878e+02 +1.5270e+00 -8.3608e-01 -1.2843e+00 +1.9710e+00 -3.9232e+00 -2.5175e+00 +6.7258e-01 -1.1048e+00 -5.2669e-01 -4.3521e+00 +3.1972e+00 +1.1238e-01 +9.1069e-01 -2.0862e+00 -2.8291e+00 +1.5974e+00 -1.5448e-01 -2.7829e+00 +3.1992e+00 -4.8833e+00
4707 +7.739336413e+01 +7.739336413e+01 +1.550533641e+02 +1.550533641e+02 +1.4779e+00 -7.7607e-01 -1.2029e+00 +1.7980e+00 -3.9050e+00 -2.6292e+00 +6.0029e-01 -1.1035e+00 -4.7976e-01 -4.4276e+00 +3.5229e+00 +1.3323e-01 +7.8015e-01 -2.0693e+00 -2.8105e+00 +1.3425e+00 +6.0555e-01 -2.7362e+00 +3.4738e+00 -4.9079e+00
9144 +5.799169933e+01 +5.799169933e+01 +1.356516993e+02 +1.356516993e+02 +1.4767e+00 -9.1746e-01 -1.3128e+00 +3.2293e+00 -3.9414e+00 -1.8961e+00 +5.9109e-01 -1.0767e+00 -5.3204e-01 -4.4103e+00 +3.5416e+00 +1.3090e-01 +7.7794e-01 -1.5496e+00 -2.8255e+00 +1.3518e+00 +5.4752e-01 -2.7494e+00 +2.8161e+00 -4.6166e+00
13429 +3.874077468e+01 +3.874077468e+01 +1.164007747e+02 +1.164007747e+02 +1.4260e+00 -8.2873e-01 -1.1807e+00 +2.5808e+00 -3.9217e+00 +2.6336e-01 +5.8438e-01 -1.1191e+00 -4.9907e-01 -4.5030e+00 +3.5096e+00 +1.6222e-01 +7.9405e-01 -2.0456e+00 -2.8177e+00 +1.3511e+00 -2.3329e-01 -2.7692e+00 +3.4491e+00 -3.1531e+00
18453 +2.495200649e+01 +2.495200649e+01 +1.026120065e+02 +1.026120065e+02 +1.3809e+00 -8.3334e-01 -1.3687e+00 +3.3588e+00 -3.8979e+00 +1.7397e-01 +5.9901e-01 -1.0966e+00 -5.1807e-01 -4.5057e+00 +3.4902e+00 +1.5942e-01 +8.0522e-01 -2.0488e+00 -2.7825e+00 +1.3598e+00 -2.8019e-01 -2.7484e+00 +3.1658e+00 -2.8316e+00
25918 +1.561100568e+01 +1.561100568e+01 +9.327100568e+01 +9.327100568e+01 +1.4002e+00 -8.3859e-01 -1.3008e+00 +3.2935e+00 -3.3310e+00 +2.6960e-01 +5.8653e-01 -1.1020e+00 -4.9906e-01 -4.4826e+00 +3.4788e+00 +1.1849e-01 +8.0428e-01 -2.0618e+00 -2.8295e+00 +1.3457e+00 -2.9568e-01 -2.7541e+00 +3.1654e+00 -3.4512e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.427090107e+03 +2.427090107e+03 +2.542770107e+03 +2.542770107e+03 +4.8998e+00 +4.6450e-01 -2.9744e+00 +2.4521e+00 -2.8702e+00 +4.5083e+00 -2.2428e+00 +4.8446e+00 -3.5291e+00 -1.0086e+00 -2.2434e+00 +2.6286e+00 -3.9826e+00 -3.6048e-01 +4.1063e+00 +5.2997e-01 +1.2827e+00 -2.5389e+00 -3.5572e+00 -3.0911e+00
