% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
219 +6.064435445e+01 +6.064435445e+01 +5.904435445e+01 +5.904435445e+01 +3.6117e+00 -2.6550e+00 -2.9175e+00 -4.6814e+00 +4.4940e-01 +1.3367e+00 -2.8463e+00 +1.4579e+00 -1.0447e+00 +1.2067e+00 -4.1594e+00 -2.9865e+00 +3.8942e+00 -8.4586e-01 -3.5699e+00 +5.0000e+00 +4.3706e+00 -1.1807e+00 -4.9076e+00 -4.0344e-01
242 +3.714822601e+01 +3.714822601e+01 +3.554822601e+01 +3.554822601e+01 +3.7507e+00 -3.0004e+00 -3.3343e+00 -2.8740e+00 -3.2456e+00 +2.5275e+00 -3.1330e+00 +1.7848e+00 -3.1084e+00 +2.7359e+00 -4.5075e+00 -4.8581e+00 +3.9864e+00 -3.4149e+00 -3.5790e+00 +5.0000e+00 +4.4622e+00 +1.9807e+00 -5.0000e+00 -8.9253e-01
351 +2.258478041e+01 +2.258478041e+01 +2.098478041e+01 +2.098478041e+01 +3.8469e+00 -3.0452e+00 -1.5325e+00 -2.3100e+00 -3.7379e+00 +5.7230e-01 -3.5620e+00 +1.5073e+00 -2.5955e+00 +3.9238e+00 -5.0000e+00 -3.8325e+00 +3.7130e+00 -3.2555e+00 -3.5682e+00 +4.3745e+00 +3.5062e+00 -4.9073e-02 -3.7057e+00 -1.5382e+00
662 +1.540292013e+01 +1.540292013e+01 +1.380292013e+01 +1.380292013e+01 +4.1914e+00 -2.1832e+00 -1.5581e+00 -2.2456e+00 -1.2254e+00 +1.2908e+00 -4.1284e+00 +2.4431e+00 -2.7041e+00 +5.0000e+00 -4.0260e+00 -3.5222e+00 +4.6333e+00 -3.5517e+00 -5.0000e+00 +5.0000e+00 +3.1964e+00 -6.9266e-01 -3.5324e+00 +1.6819e+00
859 +9.823211863e+00 +9.823211863e+00 +8.223211863e+00 +8.223211863e+00 +4.0572e+00 -2.9245e+00 -2.1026e+00 -1.2013e+00 -4.8118e-01 +8.0667e-01 -4.8060e+00 +2.3727e+00 -2.4788e+00 +4.5681e+00 -4.6143e+00 -3.5267e+00 +4.2954e+00 -4.5532e+00 -2.9707e+00 +5.0000e+00 +3.0956e+00 +2.7555e-01 -3.5555e+00 +2.2499e-01
1516 +5.771211861e+00 +5.771211861e+00 +4.171211861e+00 +4.171211861e+00 +3.4851e+00 -2.4441e+00 -1.3318e+00 -2.5654e+00 -6.5125e-01 +1.4193e+00 -3.9502e+00 +2.2465e+00 -2.2590e+00 +4.4691e+00 -4.5899e+00 -4.9960e+00 +4.0113e+00 -4.2551e+00 -3.6555e+00 +4.5485e+00 +2.9801e+00 -3.2383e-01 -3.5745e+00 -3.4318e-01
2100 +3.625612234e+00 +3.625612234e+00 +2.025612234e+00 +2.025612234e+00 +3.0093e+00 -2.9170e+00 -1.2208e+00 -2.1980e+00 -4.4009e-01 +1.1121e+00 -4.7894e+00 +2.4795e+00 -2.2207e+00 +4.1686e+00 -4.1914e+00 -4.9999e+00 +4.5160e+00 -4.3239e+00 -3.3815e+00 +4.2833e+00 +3.0621e+00 -4.0260e-02 -3.4393e+00 +5.6308e-02
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.508248069e+01 +8.508248069e+01 -2.857575193e+02 -2.857575193e+02 +2.5484e+00 -4.3610e+00 -4.0625e+00 -1.0343e+00 +1.3752e+00 +4.4998e+00 +1.8247e+00 +3.3546e+00 -7.1157e-03 -1.5541e+00 -4.1745e+00 +3.8935e-01 +1.6388e-01 -4.6280e+00 -1.9133e+00 -1.2202e+00 +4.6024e+00 +3.4987e-01 -4.6683e+00 +1.3538e+00
132 +6.305088775e+01 +6.305088775e+01 -3.077891122e+02 -3.077891122e+02 +2.9471e+00 +1.0297e+00 +1.9347e+00 -1.2489e+00 +4.4257e+00 -4.4263e+00 +0.0000e+00 +2.9841e-01 -4.3989e+00 +9.5406e-01 -4.3823e+00 +7.3753e-01 +3.9045e+00 +6.2990e-02 -2.7079e+00 +3.6584e+00 -7.8776e-01 +1.5999e+00 +4.8262e+00 +0.0000e+00
314 +2.876075128e+01 +2.876075128e+01 -3.420792487e+02 -3.420792487e+02 +1.7512e-01 +2.9267e+00 +1.7817e+00 +9.2142e-01 +2.2541e+00 -4.7283e+00 -3.2781e+00 +9.8034e-01 -4.3598e+00 +5.4499e-01 -3.6240e+00 +2.4495e+00 +3.1063e+00 -1.6068e+00 -4.0541e+00 +3.9621e+00 -2.8376e+00 +1.0523e+00 +4.8965e+00 -2.3451e-01
332 +2.508924454e+01 +2.508924454e+01 -3.457507555e+02 -3.457507555e+02 +2.1579e-01 +1.4173e+00 +3.1171e+00 +3.2190e+00 +3.3898e+00 -4.8367e+00 -3.9567e+00 +1.5350e+00 -4.2685e+00 +6.7989e-01 -3.8344e+00 +2.0737e+00 +3.0817e+00 -8.9324e-01 -3.1022e+00 +2.9106e+00 -2.5617e+00 +1.3143e+00 +4.8992e+00 -8.4962e-01
404 +1.477958058e+01 +1.477958058e+01 -3.560604194e+02 -3.560604194e+02 +7.6347e-01 +2.9767e+00 +2.3989e+00 +2.5317e+00 +3.4102e+00 -4.7522e+00 -3.7903e+00 +2.6749e+00 -3.9298e+00 +2.4805e+00 -4.7652e+00 +2.1440e+00 +3.7343e+00 -3.5216e+00 -3.3314e+00 +1.6939e+00 -4.4977e+00 +1.5080e+00 +4.7654e+00 -1.8159e+00
664 +9.962871349e+00 +9.962871349e+00 -3.608771287e+02 -3.608771287e+02 +8.0540e-01 +2.7989e+00 +1.8594e+00 +6.8039e-01 +3.2488e+00 -3.5199e+00 -3.3889e+00 +1.3199e+00 -4.2994e+00 +2.7698e+00 -4.7970e+00 +1.2309e+00 +4.0189e+00 -3.5420e+00 -2.1536e+00 +1.3792e+00 -4.0472e+00 +6.9953e-01 +5.0000e+00 -1.5781e+00
1088 +6.162475171e+00 +6.162475171e+00 -3.646775248e+02 -3.646775248e+02 +1.7117e-02 +2.0724e+00 +1.9263e+00 +5.4081e-01 +3.3244e+00 -3.4703e+00 -4.0218e+00 +2.5329e+00 -4.2936e+00 +1.6363e+00 -4.5699e+00 +1.7941e+00 +3.9201e+00 -2.0909e+00 -1.9479e+00 +7.5364e-01 -3.4177e+00 +1.4816e+00 +4.8873e+00 -6.7554e-01
1452 +3.814251255e+00 +3.814251255e+00 -3.670257487e+02 -3.670257487e+02 +1.9372e-01 +2.5791e+00 +2.4734e+00 +7.9281e-01 +3.7150e+00 -3.6163e+00 -3.6118e+00 +2.2616e+00 -4.7884e+00 +1.4260e+00 -4.4304e+00 +2.5462e+00 +3.5293e+00 -2.4624e+00 -1.9715e+00 +1.1156e+00 -3.3453e+00 +4.2284e-01 +3.9987e+00 -9.2497e-01
1568 +2.503922669e+00 +2.503922669e+00 -3.683360773e+02 -3.683360773e+02 +4.4192e-01 +1.9991e+00 +2.3242e+00 +2.7962e-01 +4.0846e+00 -3.7223e+00 -3.8098e+00 +2.4399e+00 -4.3178e+00 +1.1870e+00 -4.4929e+00 +2.4024e+00 +3.6946e+00 -2.7722e+00 -2.2050e+00 +1.3093e+00 -3.6574e+00 +1.2284e+00 +3.8406e+00 -7.7978e-01
% function evaluation | noise-free fitness - Fopt (-3.256000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.171344620e+01 +8.171344620e+01 +4.915344620e+01 +4.915344620e+01 -3.0790e+00 +3.4740e+00 +4.9590e+00 -4.1767e+00 -2.7783e-01 -3.1467e+00 -3.7545e+00 -1.3979e+00 -2.3751e+00 -2.5140e+00 -2.8180e+00 +1.7790e-01 -6.0980e-01 -2.5322e-01 -2.0372e+00 -1.6703e+00 -2.7018e+00 +1.1430e+00 -3.2807e+00 +3.0570e-01
246 +5.085072354e+01 +5.085072354e+01 +1.829072354e+01 +1.829072354e+01 +3.3407e+00 -1.4437e+00 -5.2345e-01 +1.9275e+00 +7.5865e-01 -2.5200e+00 -5.0000e+00 -2.1177e+00 -1.2551e+00 +3.1384e-01 +3.1464e+00 +1.2434e+00 +4.2135e+00 +3.4700e+00 -5.2274e-01 +1.4491e+00 +1.6731e+00 -1.9852e+00 -5.5552e-02 +1.8803e-01
377 +3.917797027e+01 +3.917797027e+01 +6.617970269e+00 +6.617970269e+00 +3.2059e+00 -1.6612e+00 -3.6289e-01 +2.0916e+00 +1.3967e+00 -1.8071e-01 -5.0000e+00 -2.8372e+00 +0.0000e+00 -9.8479e-02 +1.9831e+00 -7.6934e-01 +3.0346e+00 +4.1257e+00 -5.0000e+00 +1.9725e+00 +1.5309e+00 -8.7681e-01 +1.5207e+00 -1.8589e-01
491 +2.503636560e+01 +2.503636560e+01 -7.523634399e+00 -7.523634399e+00 +3.8319e+00 -1.8448e+00 -7.8728e-02 +2.9046e+00 +6.8271e-01 +1.6783e+00 -5.0000e+00 -3.1962e+00 -5.0059e-02 -1.8978e+00 +2.8201e+00 -1.4629e+00 +3.0548e+00 +4.2483e+00 -4.8637e+00 +4.5823e+00 +1.4388e+00 -2.3656e+00 +1.2372e+00 -7.8524e-01
1005 +1.558733078e+01 +1.558733078e+01 -1.697266922e+01 -1.697266922e+01 +3.9745e+00 -1.7610e+00 -8.4228e-01 +2.9450e+00 +7.9555e-01 +1.7919e+00 -5.0000e+00 -2.6125e+00 -1.1768e+00 -8.0288e-01 +3.9884e+00 +1.1018e+00 +2.4111e+00 +2.1476e+00 -4.3822e+00 +4.4439e+00 +2.2139e+00 -2.8641e+00 +1.4699e+00 -6.2475e-01
1387 +9.185050096e+00 +9.185050096e+00 -2.337494990e+01 -2.337494990e+01 +4.0315e+00 -2.4124e+00 -9.6262e-01 +3.0170e+00 -2.4952e-01 +2.7668e+00 -5.0000e+00 -2.1806e+00 -5.0507e-01 -9.2862e-01 +4.2567e+00 +2.0066e-01 +1.6185e+00 +3.4115e+00 -5.0000e+00 +4.8330e+00 +1.6928e+00 -2.4763e+00 +9.6367e-01 -1.5252e+00
2166 +6.219986446e+00 +6.219986446e+00 -2.634001355e+01 -2.634001355e+01 +3.7698e+00 -3.2678e+00 -1.8316e+00 +2.9664e+00 +1.7620e-01 +2.5853e+00 -5.0000e+00 -1.1734e+00 -8.3747e-01 -1.4153e+00 +3.7248e+00 -5.4228e-01 -9.7710e-02 +3.5592e+00 -5.0000e+00 +4.7626e+00 +1.5181e+00 -2.1042e+00 +3.5367e-01 -1.6967e+00
2352 +3.077747997e+00 +3.077747997e+00 -2.948225200e+01 -2.948225200e+01 +2.8632e+00 -3.0190e+00 -1.7210e+00 +3.0024e+00 -5.0229e-01 +2.6417e+00 -5.0000e+00 -1.5628e+00 -7.1276e-01 -1.3369e+00 +3.7363e+00 -1.8049e-01 +1.2963e-01 +3.5892e+00 -5.0000e+00 +4.7653e+00 +1.5296e+00 -2.1223e+00 +4.0392e-01 -2.5088e+00
2432 +2.509400588e+00 +2.509400588e+00 -3.005059941e+01 -3.005059941e+01 +2.8582e+00 -3.1470e+00 -1.2638e+00 +2.9850e+00 -1.6986e-01 +2.6321e+00 -5.0000e+00 -1.5844e+00 -7.1312e-01 -1.3685e+00 +3.3767e+00 -2.0454e-01 +1.5419e-01 +3.5839e+00 -5.0000e+00 +4.8032e+00 +1.5974e+00 -2.1286e+00 +4.0903e-01 -2.9112e+00
3430 +1.533075021e+00 +1.533075021e+00 -3.102692498e+01 -3.102692498e+01 +1.9411e+00 -3.2971e+00 -1.3673e+00 +3.3701e+00 -8.9347e-01 +2.3098e+00 -5.0000e+00 -5.5098e-01 -7.0701e-01 -1.4167e+00 +3.2835e+00 -4.4988e-01 +6.9291e-01 +3.6984e+00 -5.0000e+00 +4.6064e+00 +1.5512e+00 -2.1918e+00 +3.2446e-01 -2.9008e+00
3804 +9.005863858e-01 +9.005863858e-01 -3.165941361e+01 -3.165941361e+01 +5.9854e-01 -3.3872e+00 -1.5911e+00 +3.4054e+00 -1.1589e+00 +2.1110e+00 -5.0000e+00 -1.3832e-01 -6.5175e-01 -1.4566e+00 +3.3023e+00 -4.3405e-01 +1.1104e+00 +3.7061e+00 -5.0000e+00 +3.3789e+00 +1.6158e+00 -2.1958e+00 +7.1568e-01 -2.9424e+00
3843 +5.864997642e-01 +5.864997642e-01 -3.197350024e+01 -3.197350024e+01 +8.8556e-01 -3.5013e+00 -1.5901e+00 +3.4034e+00 -1.0735e+00 +2.5316e+00 -5.0000e+00 +1.9663e-02 -9.7825e-01 -1.5425e+00 +3.3245e+00 -3.7368e-01 +1.1509e+00 +3.8282e+00 -5.0000e+00 +3.7347e+00 +1.0295e+00 -2.2324e+00 +6.3234e-01 -2.8962e+00
% function evaluation | noise-free fitness - Fopt (5.154000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.989083782e+01 +7.989083782e+01 +5.952908378e+02 +5.952908378e+02 -4.1605e+00 +2.5981e+00 -2.8630e+00 +2.0286e+00 -2.3191e+00 -2.6601e+00 -1.7482e+00 -1.5225e-01 -1.4008e+00 +2.2109e+00 -3.4312e+00 -1.1243e+00 -2.9994e+00 +4.3315e+00 -2.2716e+00 +4.8625e+00 -7.9843e-01 +1.4923e+00 -4.5346e+00 -2.6567e+00
