% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.445040242e+02 +3.445040242e+02 +4.239840242e+02 +4.239840242e+02 -4.0868e+00 +4.8879e+00 -2.5585e+00 +1.1686e-01 +2.6767e+00 +4.2022e+00 -1.1097e+00 +4.0653e+00 -4.5509e+00 +1.4967e+00 +4.0543e+00 -3.9010e+00 -7.7180e-01 +1.7930e-01 +4.9423e+00 -2.8584e+00 -2.9788e+00 -1.4607e+00 -1.1153e-01 -4.7692e+00
6 +1.260979375e+02 +1.260979375e+02 +2.055779375e+02 +2.055779375e+02 -4.6335e+00 -4.0936e+00 +3.9300e+00 -9.2087e-02 -2.3555e+00 +2.6936e+00 -2.6492e+00 +1.5550e+00 -2.9657e+00 -2.3611e+00 -8.9482e-01 +4.3381e-01 -1.5815e+00 +4.1361e-01 +1.0149e+00 +1.1891e+00 +1.9066e+00 -6.4314e-01 +4.3987e+00 -7.3608e-01
50 +9.006626946e+01 +9.006626946e+01 +1.695462695e+02 +1.695462695e+02 +2.7952e+00 -5.0000e+00 -1.5586e+00 +4.9922e+00 -2.6089e+00 +1.1914e+00 -1.0140e+00 +2.3870e+00 -3.0883e+00 -1.2377e+00 -3.2622e+00 +2.6736e+00 +4.4486e+00 -1.1808e+00 -1.7344e-01 +1.6246e+00 +4.7585e-01 -3.6595e+00 +3.1033e+00 -2.6809e+00
274 +4.715111533e+01 +4.715111533e+01 +1.266311153e+02 +1.266311153e+02 +1.0612e-01 -4.8536e+00 +1.0973e+00 +4.6967e-01 -3.7935e+00 +6.0144e-01 +1.3370e+00 +4.2071e-01 -2.8263e+00 +0.0000e+00 -1.6764e+00 +2.5164e+00 +1.0386e+00 -6.4379e-01 +3.9061e+00 +1.9641e+00 -2.7720e-01 -1.5478e+00 +2.1723e+00 +0.0000e+00
284 +3.735056184e+01 +3.735056184e+01 +1.168305618e+02 +1.168305618e+02 -4.1218e-01 -3.2528e+00 -4.0477e-01 +1.4192e+00 -3.6229e+00 +1.5461e+00 +3.6260e-01 +1.6484e-01 -3.5380e+00 -2.0821e+00 -1.9713e+00 +1.8613e+00 +1.3264e+00 -8.7814e-01 +1.7212e+00 -3.3648e-01 -4.5344e-01 -1.6035e+00 +2.7956e+00 +3.2457e-01
566 +2.438847453e+01 +2.438847453e+01 +1.038684745e+02 +1.038684745e+02 -1.2549e+00 -2.6278e+00 +7.1647e-01 +2.8382e+00 -4.0937e+00 +1.6633e+00 -1.7148e+00 -4.1354e-02 -1.2171e+00 -1.7626e+00 -3.2050e+00 +1.1817e+00 +1.1137e+00 -7.3812e-01 +2.1993e+00 +9.8214e-01 +4.1696e-01 -3.9159e+00 +3.4655e+00 +1.8799e+00
980 +1.577587329e+01 +1.577587329e+01 +9.525587329e+01 +9.525587329e+01 -9.6733e-01 -3.1817e+00 +0.0000e+00 +1.2358e+00 -3.3056e+00 -1.1253e-01 -4.8423e-02 +4.7587e-02 -1.0483e+00 -1.8503e+00 -3.1866e+00 +1.8100e+00 +7.8515e-01 +7.5881e-01 +3.5544e+00 +1.1255e+00 -1.1209e-01 -2.7776e+00 +2.7967e+00 +2.1939e+00
1166 +9.802035273e+00 +9.802035273e+00 +8.928203527e+01 +8.928203527e+01 -2.7967e-01 -2.1752e+00 -6.2219e-01 +1.1651e+00 -3.8177e+00 +6.2852e-02 -4.7340e-02 -2.0210e-01 -1.0338e+00 -3.4651e+00 -4.7181e+00 +2.3073e+00 +1.0797e+00 +6.5218e-02 +3.9558e+00 +1.3699e+00 -4.2578e-01 -3.6088e+00 +3.8516e+00 +1.0691e+00
1515 +5.846387814e+00 +5.846387814e+00 +8.532638781e+01 +8.532638781e+01 +1.6415e-01 -2.3697e+00 -8.1904e-01 +1.7151e+00 -3.0119e+00 +8.0236e-01 +2.0932e-01 -1.0420e+00 -7.9707e-01 -3.4626e+00 -3.5612e+00 +2.0205e+00 +1.1665e+00 +7.4755e-02 +3.7217e+00 +2.3915e+00 -5.8851e-01 -3.3833e+00 +1.4916e+00 +1.6396e+00
2007 +3.914354134e+00 +3.914354134e+00 +8.339435413e+01 +8.339435413e+01 +5.4657e-01 -2.1991e+00 -7.5576e-01 +1.3876e+00 -2.9343e+00 +1.1053e+00 +2.1085e-01 +2.5046e-01 -8.9788e-01 -3.1237e+00 -3.7101e+00 +1.6623e+00 +9.3885e-01 -4.1991e-01 +3.5966e+00 +2.8714e+00 +7.6262e-01 -3.6528e+00 +2.5612e+00 +1.0753e+00
