% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3958 +3.785064152e-01 +3.785064152e-01 +7.985850642e+01 +7.985850642e+01 +3.3734e-01 -1.1686e+00 -7.8372e-01 +1.8369e+00 -2.7835e+00 +2.4066e-01 -8.4246e-02 +2.7521e-02 -1.6484e+00 -3.1427e+00 -3.7926e+00 +2.0180e+00 +1.0688e+00 -3.8178e-01 +3.3545e+00 +2.7802e+00 -1.6156e-01 -4.0642e+00 +2.0828e+00 +1.3613e+00
4484 +2.054697885e-01 +2.054697885e-01 +7.968546979e+01 +7.968546979e+01 +3.2286e-01 -1.2239e+00 -7.8686e-01 +1.7982e+00 -2.7685e+00 +3.6095e-01 -1.9904e-01 +5.5786e-02 -1.5938e+00 -3.1207e+00 -3.8378e+00 +2.0849e+00 +9.8210e-01 -2.8643e-01 +3.6230e+00 +2.9001e+00 -1.9877e-01 -4.0852e+00 +2.1259e+00 +1.3977e+00
4832 +1.435129696e-01 +1.435129696e-01 +7.962351297e+01 +7.962351297e+01 +2.0787e-01 -1.2068e+00 -7.2860e-01 +1.8053e+00 -2.8213e+00 +4.6777e-01 -1.7782e-01 +7.3393e-02 -1.6289e+00 -3.1281e+00 -3.8133e+00 +2.0869e+00 +9.8936e-01 -1.5486e-01 +3.6617e+00 +2.9373e+00 -2.9901e-01 -3.9380e+00 +2.1645e+00 +1.3802e+00
5124 +9.697840058e-02 +9.697840058e-02 +7.957697840e+01 +7.957697840e+01 +2.4714e-01 -1.1995e+00 -7.4228e-01 +1.8274e+00 -2.6310e+00 +3.8966e-01 -1.7868e-01 -2.0696e-02 -1.6726e+00 -3.1217e+00 -3.8097e+00 +2.1117e+00 +1.0384e+00 -2.0614e-02 +3.6256e+00 +2.9169e+00 -8.6781e-03 -3.9871e+00 +2.2481e+00 +1.4024e+00
5911 +5.178375388e-02 +5.178375388e-02 +7.953178375e+01 +7.953178375e+01 +2.1531e-01 -1.1767e+00 -6.9723e-01 +1.8639e+00 -2.6979e+00 +4.1083e-01 -1.9585e-01 +3.9144e-02 -1.6051e+00 -3.0600e+00 -3.8006e+00 +2.0522e+00 +1.0640e+00 -9.9355e-02 +3.6327e+00 +3.0093e+00 -9.8120e-02 -4.0386e+00 +2.3946e+00 +1.3939e+00
6322 +3.829615959e-02 +3.829615959e-02 +7.951829616e+01 +7.951829616e+01 +3.2403e-01 -1.1442e+00 -7.3104e-01 +1.8579e+00 -2.6860e+00 +4.6500e-01 -1.3541e-01 +3.4163e-02 -1.5852e+00 -3.0820e+00 -3.7979e+00 +2.0248e+00 +1.1194e+00 -1.0556e-02 +3.6349e+00 +2.8608e+00 -1.3787e-01 -3.9764e+00 +2.3377e+00 +1.3834e+00
6950 +2.428296441e-02 +2.428296441e-02 +7.950428296e+01 +7.950428296e+01 +2.8906e-01 -1.1590e+00 -7.2657e-01 +1.8785e+00 -2.6426e+00 +3.9360e-01 -1.5503e-01 +2.5121e-02 -1.6268e+00 -3.0731e+00 -3.7990e+00 +2.0048e+00 +1.0951e+00 -5.9632e-02 +3.6352e+00 +2.8900e+00 -9.6245e-02 -3.9182e+00 +2.3788e+00 +1.3803e+00
7431 +1.416548868e-02 +1.416548868e-02 +7.949416549e+01 +7.949416549e+01 +2.8160e-01 -1.1690e+00 -7.3466e-01 +1.9035e+00 -2.6648e+00 +4.2499e-01 -1.6242e-01 +8.7074e-02 -1.6268e+00 -3.0673e+00 -3.8063e+00 +2.0051e+00 +1.1006e+00 -6.7527e-02 +3.6287e+00 +2.8935e+00 -1.7190e-01 -3.9556e+00 +2.4026e+00 +1.3799e+00
7791 +8.850134966e-03 +8.850134966e-03 +7.948885013e+01 +7.948885013e+01 +2.7625e-01 -1.1703e+00 -7.3741e-01 +1.8986e+00 -2.6461e+00 +4.2497e-01 -1.0348e-01 +7.6373e-02 -1.6190e+00 -3.0664e+00 -3.8323e+00 +2.0070e+00 +1.0981e+00 -5.7976e-02 +3.6294e+00 +2.9113e+00 -1.3563e-01 -3.9391e+00 +2.3900e+00 +1.3756e+00
8247 +5.930256859e-03 +5.930256859e-03 +7.948593026e+01 +7.948593026e+01 +2.6706e-01 -1.1735e+00 -7.3804e-01 +1.8858e+00 -2.6712e+00 +4.4585e-01 -1.0793e-01 +7.9268e-02 -1.6578e+00 -3.0682e+00 -3.8487e+00 +2.0038e+00 +1.0968e+00 -8.3802e-02 +3.6385e+00 +2.9027e+00 -1.2810e-01 -3.9285e+00 +2.3770e+00 +1.3785e+00
