% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.188161902e+01 +6.188161902e+01 +1.610516190e+02 +1.610516190e+02 +3.9298e+00 +4.0304e-01 +4.4759e+00 -2.0323e+00 -1.3466e+00 -2.6328e+00 +4.8842e+00 +1.2843e+00 +3.6665e+00 +5.9763e-01 +1.6992e-01 -4.6440e+00 -5.1532e-01 -1.9255e+00 -3.8993e+00 -3.7727e+00 -8.8583e-01 -4.0494e+00 +2.6210e+00 -2.9273e+00
11 +3.712531344e+01 +3.712531344e+01 +1.362953134e+02 +1.362953134e+02 -2.0192e+00 -4.6272e+00 -2.9984e+00 +2.0866e+00 -2.6260e+00 +4.2036e+00 -1.3934e+00 +4.3668e+00 -3.5423e+00 +3.7566e+00 +2.0445e+00 +3.7545e+00 -3.9200e+00 -2.3643e+00 +1.3207e+00 +1.4013e+00 -6.5402e-02 -4.1668e+00 +8.6655e-01 +2.0610e+00
5503 +2.493634143e+01 +2.493634143e+01 +1.241063414e+02 +1.241063414e+02 -2.9625e+00 +1.8589e+00 +2.3313e+00 +4.2211e+00 +5.0419e-02 +3.4275e+00 +4.6441e+00 +4.4588e+00 +2.7521e-01 -4.8210e+00 -2.1851e+00 -3.8406e+00 +2.3010e+00 -4.7145e-01 -4.5388e+00 +1.3641e+00 -4.7902e-01 -3.5712e+00 +3.2657e+00 -4.1051e+00
28496 +1.521139210e+01 +1.521139210e+01 +1.143813921e+02 +1.143813921e+02 -1.2890e+00 -1.4313e+00 -7.5765e-01 +4.4974e+00 +1.1020e+00 -4.0239e+00 +1.2308e+00 +4.7092e+00 +3.6455e+00 -3.1268e+00 +5.4832e-01 -5.3261e-01 +1.2877e+00 +2.2956e+00 -4.1322e+00 +2.9074e+00 -3.9460e-02 +8.9605e-01 +2.9294e+00 -4.9255e+00
39332 +9.830882063e+00 +9.830882063e+00 +1.090008821e+02 +1.090008821e+02 -1.7890e+00 -1.4234e+00 -5.0765e-01 +4.3685e+00 +1.1018e+00 -4.0278e+00 +1.2230e+00 +4.7090e+00 +3.6454e+00 -3.1268e+00 +5.4832e-01 -5.3261e-01 +1.2877e+00 +2.2956e+00 -4.1322e+00 +2.9074e+00 -3.9460e-02 +9.5855e-01 +2.9274e+00 -4.9323e+00
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.071035961e+01 +9.071035961e+01 -4.271996404e+02 -4.271996404e+02 +3.6053e+00 -5.4839e-01 -2.5651e+00 -3.7870e+00 -4.6647e+00 -6.5224e-01 +3.5490e+00 -7.3900e-02 -4.8550e+00 +3.9879e+00 +4.0998e-01 +3.9888e-01 -3.8178e-01 -2.4017e+00 -1.4082e+00 +1.1561e+00 +4.1234e+00 -7.0367e-01 -4.5892e+00 -3.1971e+00
9 +5.104225202e+01 +5.104225202e+01 -4.668677480e+02 -4.668677480e+02 +3.2297e+00 +2.1382e+00 -3.4254e+00 -1.7734e+00 -3.9717e+00 -4.1281e+00 +3.8964e+00 +2.9572e+00 -3.9408e+00 -3.2374e-01 -4.8519e+00 -1.1111e+00 -5.0073e-01 +3.3133e+00 -9.5493e-01 -1.1864e+00 +4.8475e+00 -3.5148e-01 -3.8430e+00 +3.7717e-01
44 +3.821330181e+01 +3.821330181e+01 -4.796966982e+02 -4.796966982e+02 +1.6244e+00 +2.5245e+00 +4.9410e+00 -2.8589e+00 -3.7959e+00 -2.8195e+00 -3.9451e+00 -8.1046e-01 -2.5811e+00 -9.1081e-01 +7.6418e-01 +2.4786e+00 -2.0404e+00 -8.4270e-01 +3.3380e+00 +4.6484e+00 +1.5794e+00 -2.1362e+00 -5.3547e-01 -2.7712e+00
1906 +2.435738965e+01 +2.435738965e+01 -4.935526104e+02 -4.935526104e+02 -3.6645e+00 -3.1140e+00 -1.1962e+00 -5.3664e-01 -4.7772e+00 -4.3059e+00 +1.3463e+00 +1.4250e+00 -1.6073e+00 +8.8352e-01 -4.7763e+00 -1.4138e+00 -2.8561e+00 +4.3318e+00 -1.2660e+00 +2.9582e+00 +4.9523e+00 +1.3588e+00 -4.8612e+00 -4.8440e+00
33556 +1.562562844e+01 +1.562562844e+01 -5.022843716e+02 -5.022843716e+02 +1.3840e+00 -3.2212e+00 +3.5785e+00 -2.3854e+00 +4.7218e-01 -4.1775e+00 +1.7857e+00 +3.2376e+00 +3.1896e+00 +1.6043e+00 -1.7372e+00 +6.4343e-01 -1.2394e+00 +1.3934e+00 -1.5050e+00 +3.1715e+00 -4.0716e-01 +3.7946e+00 +2.0993e+00 +2.9172e-01
