% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.443765831e+06 +1.443765831e+06 +1.443801731e+06 +1.443801731e+06 +2.7934e+00 -4.5901e+00 +3.6668e+00 -1.8342e+00 -3.4897e+00 -4.7740e+00 -4.0983e+00 +1.5624e+00 +4.5308e+00 -8.8438e-01 +7.4751e-01 -3.3067e+00 +4.8896e+00 -3.4816e+00 -1.7610e+00 +4.0119e+00 +3.2028e+00 +4.8780e+00 -4.9022e+00 -2.9594e+00
5 +9.944551209e+05 +9.944551209e+05 +9.944910209e+05 +9.944910209e+05 +2.9588e+00 -2.3797e+00 +4.4922e+00 -3.2594e+00 +4.9475e+00 -4.9955e+00 -2.5112e+00 +8.2628e-01 -6.9297e-01 -4.7794e+00 -3.3084e+00 +2.8961e+00 -2.3302e+00 +1.6305e+00 +2.2020e+00 -2.8265e+00 -4.0651e+00 +1.0317e+00 +4.8184e+00 -1.9411e+00
24 +5.795015838e+05 +5.795015838e+05 +5.795374838e+05 +5.795374838e+05 +1.1019e+00 -3.4033e+00 +2.3109e+00 +3.0873e+00 +3.8528e-01 +3.5196e+00 +2.5851e+00 +4.0849e-01 +2.3518e+00 +2.6301e+00 -1.7258e+00 +1.3843e+00 +1.4351e+00 +3.8227e+00 +2.8681e+00 -3.5874e+00 +3.6704e+00 +4.2725e+00 -4.8736e-01 -2.9522e+00
56 +3.010492020e+05 +3.010492020e+05 +3.010851020e+05 +3.010851020e+05 +1.3201e+00 +5.0000e+00 +4.2157e+00 +1.2507e+00 -9.8877e-01 +1.0438e+00 +1.7324e-01 -3.3095e+00 +3.3095e-01 -5.0000e+00 -1.3503e+00 +9.7496e-01 +2.6343e+00 +2.7180e+00 +1.3686e+00 -1.0291e+00 +9.1279e-01 +5.0000e+00 -4.4816e+00 -3.1461e-01
161 +2.282105680e+05 +2.282105680e+05 +2.282464680e+05 +2.282464680e+05 +4.8224e-01 +5.0000e+00 +2.6005e+00 +2.5741e+00 -3.5421e+00 -3.8089e+00 +4.1835e-01 -5.0000e+00 +1.7972e-02 -4.6886e+00 +2.4900e+00 +3.1308e+00 +3.3442e+00 +2.0319e+00 -1.1324e+00 -3.8068e+00 +2.0284e+00 +3.8394e+00 -3.9083e+00 -2.0145e+00
171 +1.187379825e+05 +1.187379825e+05 +1.187738825e+05 +1.187738825e+05 +3.4848e+00 +5.0000e+00 +3.7077e+00 +6.3906e-01 -1.9466e+00 -2.5680e-01 +1.6675e-01 -2.6659e+00 -1.5600e-01 -5.0000e+00 -2.8382e-01 +1.9837e-01 +5.4918e-03 +1.7595e+00 -8.7136e-01 -5.0000e+00 -9.5429e-01 +5.0000e+00 -2.6305e+00 -3.9931e+00
257 +6.315683166e+04 +6.315683166e+04 +6.319273166e+04 +6.319273166e+04 +5.0000e+00 +5.0000e+00 +3.1496e+00 +7.7512e-01 -1.1223e+00 -4.0012e+00 -1.7761e+00 -3.6914e+00 +5.5524e-01 -5.0000e+00 -1.3700e+00 -1.5007e+00 -1.9334e+00 -2.4908e+00 -7.6756e-01 -5.0000e+00 -8.2302e-01 +5.0000e+00 -2.4054e+00 -5.0000e+00
344 +6.274943178e+04 +6.274943178e+04 +6.278533178e+04 +6.278533178e+04 +4.9889e+00 +5.0000e+00 +3.2508e+00 +1.4404e+00 -2.3170e+00 -4.3249e+00 -1.8850e+00 -3.0649e+00 +5.8939e-01 -4.9971e+00 -1.9133e+00 -5.9473e-01 -5.1891e-02 -3.2515e+00 -9.0938e-01 -5.0000e+00 -8.4767e-01 +5.0000e+00 -1.0369e+00 -4.8920e+00
350 +3.455841132e+04 +3.455841132e+04 +3.459431132e+04 +3.459431132e+04 +4.6053e+00 +5.0000e+00 +4.0055e+00 +3.2600e+00 -2.0280e+00 -5.0000e+00 -1.8823e+00 -8.4189e-01 +1.8495e+00 -5.0000e+00 -2.9373e+00 -4.6631e-01 -4.0222e+00 -1.7344e+00 -2.5859e+00 -5.0000e+00 -7.6783e-01 +5.0000e+00 -3.4036e+00 -5.0000e+00
525 +1.139864211e+04 +1.139864211e+04 +1.143454211e+04 +1.143454211e+04 +4.0737e+00 +5.0000e+00 +4.2112e+00 +3.4853e+00 -5.0000e+00 -4.8033e+00 -7.1082e-01 -3.0522e+00 +1.9361e+00 -5.0000e+00 -3.2754e+00 -5.6745e-01 -3.9237e+00 +2.4290e+00 -7.5190e-01 -4.7150e+00 +8.2047e-01 +5.0000e+00 -4.4669e+00 -4.9438e+00
