% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
59 +1.948728382e+06 +1.948728382e+06 +1.948787512e+06 +1.948787512e+06 -2.6603e+00 +1.7471e+00 -3.0853e+00 +1.3541e-01 +3.5593e+00 +1.9042e+00 +3.0860e-01 -4.2113e+00 -3.8314e+00 -2.1347e+00 +4.5309e-02 -4.2369e+00 -1.5101e+00 +9.9620e-02 -4.1642e+00 -3.0612e+00 -1.5898e+00 +2.1048e+00 +1.9378e+00 -1.5558e+00
126 +1.354460270e+06 +1.354460270e+06 +1.354519400e+06 +1.354519400e+06 +1.4161e+00 -9.5529e-01 -1.9946e+00 +1.9380e+00 -1.6558e+00 -6.8631e+00 +4.3431e+00 -2.1685e+00 -5.8564e-01 -1.5211e+00 +4.1357e+00 -3.2009e+00 -2.3461e+00 +2.7203e+00 -4.7127e+00 +1.0870e+00 +2.5421e+00 +1.0223e+00 -1.2684e+00 -1.5750e+00
301 +9.893824391e+05 +9.893824391e+05 +9.894415691e+05 +9.894415691e+05 +3.5742e+00 +8.3546e-01 -1.4104e+00 +4.0830e+00 -1.2148e+00 -6.5518e+00 +5.9940e+00 -1.3925e+00 +2.8274e-01 -3.3638e-01 +4.3411e+00 -4.5429e+00 -8.2696e-01 +2.2421e+00 -6.8178e+00 +4.9022e-01 +2.5127e+00 +6.5338e-02 -9.0617e-01 -2.2218e-01
1023 +5.367561936e+05 +5.367561936e+05 +5.368153236e+05 +5.368153236e+05 +3.0147e+00 -1.5073e+00 +3.6352e+00 -1.3542e+00 +2.6438e+00 -1.2042e+01 -1.9195e-01 +1.4009e+00 -5.4001e-01 -1.1671e+00 +7.9050e+00 -3.2733e+00 -1.3550e+00 +2.1749e-01 +4.6947e-01 -3.3429e+00 -1.5974e+00 -5.1941e+00 -2.5366e+00 +3.0609e+00
1202 +2.343926653e+05 +2.343926653e+05 +2.344517953e+05 +2.344517953e+05 -7.2935e-01 +1.5299e+00 +1.5587e+00 +1.7518e-01 +1.4277e+00 -7.1655e+00 -5.0044e+00 +2.2545e+00 -4.2999e+00 -2.9969e-01 -2.7646e-01 -1.5549e+00 -4.2107e+00 -2.8278e+00 -1.5978e+00 -5.7134e+00 -3.4945e+00 -4.3479e+00 +2.3799e+00 -2.5418e+00
2367 +9.900859842e+04 +9.900859842e+04 +9.906772842e+04 +9.906772842e+04 +2.0152e+00 +9.5753e-02 +1.8300e+00 +2.0963e+00 -1.7589e+00 -6.0394e+00 +2.3896e-01 -3.7792e-02 -1.2570e+00 -3.0647e+00 +4.0846e+00 -3.5745e+00 -3.9363e+00 +1.9457e+00 -3.7778e+00 +5.0226e+00 +3.7478e+00 -4.3928e+00 -9.5603e-02 -2.4651e+00
3631 +5.522286986e+04 +5.522286986e+04 +5.528199986e+04 +5.528199986e+04 -1.6587e+00 +3.4767e+00 -3.8205e+00 +2.7677e+00 -8.7296e-01 +4.6032e+00 -3.2404e+00 +2.3144e+00 -2.5993e+00 -2.6254e+00 +3.8063e+00 -4.2205e+00 -1.4737e+00 -6.7540e+00 +4.4130e+00 -4.8702e-01 +2.7569e+00 -1.5641e+00 -2.6592e-02 -4.5759e+00
4723 +3.244475798e+04 +3.244475798e+04 +3.250388798e+04 +3.250388798e+04 -1.5245e-01 +1.4521e+00 -1.9003e+00 +2.6768e+00 -1.1535e+00 -2.2193e+00 -2.4623e+00 +3.1354e+00 -1.8905e+00 -2.5743e+00 +2.6630e+00 -8.0018e-01 -7.1966e-01 -3.9579e+00 -1.1654e+00 +1.4361e+00 +1.6440e+00 -1.3964e+00 +1.2861e-01 -1.6415e+00
% function evaluation | noise-free fitness - Fopt (-4.915300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.897990804e+07 +1.897990804e+07 +1.897941651e+07 +1.897941651e+07 -2.3938e+00 +2.5417e+00 +4.6136e-01 -1.5147e+00 -1.6640e+00 +1.5284e+00 +4.7640e+00 -3.1127e+00 -5.7828e-01 -2.9057e+00 -5.8009e-01 -3.9733e+00 +2.8303e+00 +1.5128e+00 -2.7674e+00 -5.2599e-01 +1.4442e+00 +4.0077e+00 -2.2417e+00 -3.8816e+00
