% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.554344037e+07 +2.554344037e+07 +2.554323049e+07 +2.554323049e+07 -1.7653e+00 +4.7776e-01 -2.3919e+00 -3.0425e-01 +4.5731e+00 -4.6973e+00 -1.9394e+00 +3.7441e+00 -4.8747e+00 -2.0792e+00
2 +9.833004105e+06 +9.833004105e+06 +9.832794225e+06 +9.832794225e+06 -1.0642e-02 +3.9008e+00 +2.3663e+00 +3.6944e+00 -2.1516e-01 -1.9599e+00 +4.5778e+00 +4.8342e+00 +2.0802e-01 -3.3764e-01
3 +1.405789504e+06 +1.405789504e+06 +1.405579624e+06 +1.405579624e+06 -2.5788e-01 +1.3584e+00 -4.7979e+00 +1.5536e+00 -3.3868e+00 -4.8645e+00 +8.8713e-01 +4.1119e+00 -6.9975e-01 +1.9114e+00
21 +3.760697155e+05 +3.760697155e+05 +3.758598355e+05 +3.758598355e+05 +4.2223e+00 -3.4541e+00 +8.3923e-02 -1.4135e+00 +3.1170e+00 -8.6702e-02 +2.3174e+00 -4.7509e-01 -2.0868e+00 +2.2304e+00
54 +1.968628941e+05 +1.968628941e+05 +1.966530141e+05 +1.966530141e+05 +6.9164e+00 +1.3584e+00 -4.7979e+00 +1.5536e+00 -3.3868e+00 -7.9770e-01 +1.3646e+00 -3.7468e-01 -6.9975e-01 +2.9334e+00
372 +1.095061683e+05 +1.095061683e+05 +1.092962883e+05 +1.092962883e+05 -4.3232e+00 -1.9929e+00 -4.5263e-01 -1.1958e+00 -2.8587e+00 +3.6399e-01 +2.3006e+00 -6.2516e-01 -1.4210e+00 +2.8345e+00
501 +9.345493246e+04 +9.345493246e+04 +9.324505246e+04 +9.324505246e+04 -7.9385e+00 -1.4555e+00 -4.3596e+00 -7.7576e-01 -2.5850e+00 +3.7973e+00 +1.7593e+00 -4.1728e-01 -1.6283e+00 +2.7328e+00
508 +6.267608117e+04 +6.267608117e+04 +6.246620117e+04 +6.246620117e+04 -5.5856e+00 -3.0088e+00 +1.6827e+00 +1.0194e+00 -5.1565e+00 +2.2684e+00 +3.0863e+00 +6.7740e-01 -1.3529e+00 +2.5876e+00
660 +3.368310928e+04 +3.368310928e+04 +3.347322928e+04 +3.347322928e+04 -5.4402e+00 -2.3174e+00 +3.6984e+00 -1.7683e+00 -3.5762e-01 +1.9639e+00 +2.3117e+00 +3.0739e-01 -1.0139e+00 +2.7511e+00
901 +1.387075434e+04 +1.387075434e+04 +1.366087434e+04 +1.366087434e+04 -1.4017e+01 -2.9058e+00 +5.8911e+00 -4.8223e+00 +1.0356e+00 +4.3185e+00 +2.1958e+00 +1.4050e-01 -1.0965e+00 +2.5733e+00
