% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.133276778e+07 +4.133276778e+07 +4.133255790e+07 +4.133255790e+07 -2.5109e+00 -1.1615e+00 +6.4324e-01 -1.1725e+00 +3.1458e-01 +1.0204e+00 +4.7897e+00 -1.3859e+00 -2.1424e+00 +4.7747e+00 +2.9123e-02 -2.5660e-01 +2.0903e+00 -4.8129e+00 +4.1108e+00 +1.1718e+00 +4.8030e+00 -2.5696e+00 +4.4813e+00 +1.5424e+00
2 +2.914469094e+07 +2.914469094e+07 +2.914448106e+07 +2.914448106e+07 -3.8281e+00 +3.4497e+00 -2.9202e+00 -1.6787e+00 +2.6599e+00 -4.8088e+00 -3.7633e+00 +4.9231e+00 +2.2195e+00 +5.5166e-01 +1.5033e+00 +1.6495e+00 +4.4056e-01 -1.8066e-02 +6.1892e-01 +3.8102e+00 -4.4234e+00 -2.8985e+00 +1.1200e+00 -1.5860e+00
3 +2.241334524e+07 +2.241334524e+07 +2.241313536e+07 +2.241313536e+07 -1.5088e+00 -1.5972e-01 -1.9677e+00 +5.1918e-02 -1.2701e+00 +3.9448e+00 +2.1205e+00 +4.3900e+00 +2.2840e+00 -3.7403e+00 +2.0746e-01 -4.9960e+00 +1.5073e+00 -3.0304e+00 +4.3328e+00 +3.5633e+00 +2.1794e+00 +4.2709e+00 -1.4510e+00 -1.8552e+00
5 +9.377635318e+06 +9.377635318e+06 +9.377425438e+06 +9.377425438e+06 +2.0671e+00 +3.7552e+00 -2.4266e+00 -2.7452e+00 -1.8428e+00 +3.0813e+00 +3.7497e+00 -4.9165e+00 -1.6279e+00 -1.7087e-01 +1.1072e+00 -4.2289e+00 +1.8727e+00 +2.0465e+00 -3.1420e+00 +6.8702e-01 +3.0123e+00 +6.3089e-01 -4.6003e+00 +1.6802e+00
47 +4.895996907e+06 +4.895996907e+06 +4.895787027e+06 +4.895787027e+06 +3.1246e+00 -1.5327e+00 +5.8280e-01 -5.5420e-01 -2.0907e+00 +2.3185e+00 -4.0578e+00 +5.0000e+00 -3.8497e+00 -1.8058e+00 +2.1842e+00 +4.9926e-01 -5.0000e+00 -1.7235e+00 +1.0465e+00 +6.8462e-02 -1.8610e+00 +1.5746e+00 -1.7777e-01 +1.9001e+00
53 +3.727553447e+06 +3.727553447e+06 +3.727343567e+06 +3.727343567e+06 +2.2956e+00 +4.3698e+00 -9.7373e-01 +3.6131e+00 +2.9578e-01 -9.4163e-01 -2.1145e+00 +2.1475e+00 -5.0000e+00 -4.2193e+00 +1.0533e+00 -3.4552e+00 -1.9882e+00 +2.4454e+00 -3.6356e-01 +4.9079e-01 -4.4567e+00 +2.8752e+00 -5.5335e-01 +2.6367e+00
119 +1.865678966e+06 +1.865678966e+06 +1.865469086e+06 +1.865469086e+06 -2.7878e-01 +2.0974e+00 -2.1600e+00 -3.6593e+00 -2.5185e+00 +1.2925e+00 -2.5540e+00 -1.3775e-01 -7.2199e+00 -4.0899e+00 +3.1269e+00 +1.8381e+00 -1.5003e+00 +5.3407e-01 +9.4219e-01 -1.6868e+00 -5.3936e-01 +3.6702e+00 -1.7792e+00 +1.6549e+00
139 +1.539379618e+06 +1.539379618e+06 +1.539169738e+06 +1.539169738e+06 +3.2912e-01 +8.3580e-01 -2.3897e+00 +4.3451e+00 +0.0000e+00 +0.0000e+00 +4.7565e-01 -2.8497e+00 -5.0000e+00 -5.0000e+00 +4.5967e+00 -3.0723e-01 -1.5241e+00 -2.6218e-01 -4.3016e+00 -5.0000e+00 -2.0899e+00 +3.2850e+00 -3.2955e+00 +2.6305e+00
440 +8.179335963e+05 +8.179335963e+05 +8.177237163e+05 +8.177237163e+05 +4.1606e-02 +1.6252e+00 +9.9489e-01 -1.0317e+00 +1.8835e+00 -2.4529e+00 -3.0336e+00 +5.0000e+00 +2.6994e+00 +9.6927e-01 -3.8101e-01 +1.6005e+00 -8.7888e-01 -3.6439e+00 -1.3419e+00 -3.5237e+00 -3.1911e+00 +2.4519e+00 -3.3243e+00 +1.6006e+00
2376 +6.284340134e+05 +6.284340134e+05 +6.282241334e+05 +6.282241334e+05 +2.2449e+01 -2.8311e+01 -1.0353e-01 +7.9146e+00 -4.1254e+00 +1.7546e+01 -2.1839e+00 +3.7599e+00 -1.0786e+01 -4.9600e-01 +9.5974e+00 +8.0802e-01 +4.0974e+00 -1.0992e+00 -8.4886e-02 -2.7479e+00 -2.6511e+00 +2.8783e+00 -3.1424e+00 +1.6202e+00
