% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
169 +3.875355020e+01 +3.875355020e+01 +5.756355020e+01 +5.756355020e+01 +1.0071e-01 -2.3383e+00 +3.8349e+00 +5.7000e-02 +3.5282e+00 -3.4523e+00 +2.2338e-01 +1.1504e+00 -3.6576e+00 +1.6883e+00 -3.5380e+00 +2.1810e+00 -5.8215e-01 -2.8937e+00 -3.8682e-01 +2.1184e-01 -2.9798e+00 +2.2442e+00 +1.0907e+00 +1.6395e-01
3540 +2.403701982e+01 +2.403701982e+01 +4.284701982e+01 +4.284701982e+01 +3.9917e+00 -1.5375e+00 +3.6905e+00 +1.5477e-01 +5.1922e+00 -1.9233e+00 +3.0209e+00 -2.8036e-01 -4.5865e+00 +4.8425e+00 -1.7152e+00 +1.9136e+00 +3.4418e+00 -6.3125e-01 -1.4824e+00 -1.4882e+00 -2.1559e+00 +3.0724e+00 -7.1306e-01 +1.3547e+00
12372 +1.307907513e+01 +1.307907513e+01 +3.188907513e+01 +3.188907513e+01 +4.7847e-02 +1.7830e-01 +1.1528e+00 -3.4422e-01 +5.7952e-01 -2.3398e+00 +3.4364e+00 -1.5934e+00 -4.3849e+00 +4.2896e+00 -3.0856e+00 +1.1367e+00 +4.1342e+00 +1.1109e+00 -2.5827e+00 -6.5657e-02 -3.1558e+00 +3.7762e+00 -7.6648e-02 +7.0180e-01
21203 +9.615797573e+00 +9.615797573e+00 +2.842579757e+01 +2.842579757e+01 +1.1157e+00 +7.1630e-01 -9.4297e-01 -6.0238e-01 +1.0865e+00 -2.8701e+00 +8.2809e-01 +1.8786e+00 +2.0162e+00 +3.2399e+00 -4.1527e+00 +2.7471e+00 +3.1156e+00 +5.9748e-01 -1.7501e+00 -3.1434e+00 -2.4572e+00 +2.9365e+00 +5.5127e-01 +5.0035e-01
29361 +5.618148980e+00 +5.618148980e+00 +2.442814898e+01 +2.442814898e+01 +2.3302e-01 +1.4127e+00 -7.2893e-01 -4.5269e-01 +1.5782e+00 -3.0523e+00 +1.3405e+00 +3.0863e-01 +8.2632e-01 +3.6471e+00 -4.1483e+00 +3.3192e+00 +3.9198e+00 +4.0650e-01 -2.3674e+00 -1.6434e+00 -3.0462e+00 +3.7593e+00 +8.1146e-01 +7.2589e-02
40044 +3.868937848e+00 +3.868937848e+00 +2.267893785e+01 +2.267893785e+01 -5.9019e-02 +1.3100e+00 -5.7160e-01 +2.5753e-01 +1.4329e+00 -3.1336e+00 +9.4255e-01 +5.1846e-01 +1.1927e+00 +2.3808e+00 -3.8509e+00 +3.7260e+00 +3.9354e+00 +4.6639e-01 -3.1017e+00 -2.6766e+00 -2.7409e+00 +3.0335e+00 +6.2316e-01 +7.9115e-01
46254 +2.127428915e+00 +2.127428915e+00 +2.093742891e+01 +2.093742891e+01 +5.4919e-02 +1.7037e+00 -6.8377e-01 -1.6453e-01 +1.3214e+00 -3.1229e+00 +8.0143e-01 +5.4055e-01 +6.3727e-01 +2.8833e+00 -3.8385e+00 +3.4450e+00 +3.6245e+00 +6.0632e-01 -2.0863e+00 -2.6842e+00 -2.5848e+00 +3.5469e+00 +6.6941e-01 +1.0221e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.707274732e+02 +1.707274732e+02 +4.438774732e+02 +4.438774732e+02 +6.6372e-01 -2.9510e+00 +4.5642e+00 -1.3912e+00 -1.1982e-01 -9.7275e-01 -3.8786e+00 +3.3349e+00 +2.7103e+00 +3.5194e+00 -2.4569e+00 +1.1481e+00 -1.2772e+00 +3.5176e-02 -1.2724e+00 -1.6693e+00 +1.9925e+00 +3.5776e+00 -2.6111e+00 +2.4047e+00
9 +7.147665220e+01 +7.147665220e+01 +3.446266522e+02 +3.446266522e+02 -2.3059e+00 +4.2863e+00 -4.9512e-01 -1.9263e+00 +1.1468e+00 +1.8607e+00 -9.8265e-01 -3.1231e+00 -4.9519e+00 +3.6405e-01 -3.6377e+00 -2.1132e-01 -4.8779e+00 +2.7277e+00 +4.8309e+00 -3.4426e+00 +3.6151e-01 +1.2787e+00 +4.4156e+00 -8.1025e-02
