% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
13910 +1.462325436e+01 +1.462325436e+01 +1.014623254e+03 +1.014623254e+03 -1.8766e+00 +4.4586e+00 -9.5971e-01 +6.5568e-01 -3.0157e+00 +1.6070e+00 +5.0783e-01 -2.6181e-01 -2.6000e+00 +1.2129e+00 -3.9549e+00 -8.0485e-01 +1.1771e+00 -4.7624e+00 -4.0322e+00 +2.5202e+00 +1.1227e-01 +4.2433e+00 -2.8318e+00 -5.8055e-02
20544 +9.855555149e+00 +9.855555149e+00 +1.009855555e+03 +1.009855555e+03 -2.5825e+00 +4.9064e+00 -1.5841e+00 +4.6491e-01 -2.9508e+00 +1.6315e+00 +1.9809e-01 +1.6326e-01 -1.6639e+00 +1.0465e+00 -3.6429e+00 -2.0245e+00 +1.8430e+00 -3.8059e+00 -3.8542e+00 +2.7002e+00 -2.8227e-01 +4.2820e+00 -1.9248e+00 +3.6788e-01
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.609521443e+01 +8.609521443e+01 +3.696521443e+01 +3.696521443e+01 +1.0719e+00 +2.4577e+00 +4.0734e+00 +1.8871e+00 -3.4189e-01 +4.8936e+00 -3.6485e+00 -7.4316e-01 +3.1003e+00 +2.2681e+00 -2.5135e+00 +3.0280e+00 -3.4768e+00 +2.7633e+00 +1.9555e+00 -4.8619e+00 -3.6094e+00 -8.7369e-01 +3.8857e+00 -9.1353e-01
2906 +6.171263715e+01 +6.171263715e+01 +1.258263715e+01 +1.258263715e+01 +2.2633e+00 +4.4931e+00 +1.4872e+00 +1.2718e+00 +5.9951e+00 +2.9011e+00 -4.4856e+00 +1.7373e+00 +3.5699e+00 +6.2419e+00 -2.4526e+00 -9.2662e-01 +3.7669e+00 +2.1086e+00 +7.1536e-01 +1.3241e+00 +3.9165e+00 -5.0743e+00 +1.4782e+00 -1.9461e+00
3801 +3.504926565e+01 +3.504926565e+01 -1.408073435e+01 -1.408073435e+01 +4.2452e+00 +4.6084e+00 +3.0909e+00 -3.9825e-01 +4.5724e+00 +2.2158e+00 -2.1959e+00 +1.8232e+00 +4.8087e+00 +3.9556e+00 -5.1745e+00 -1.0241e+00 +2.2410e+00 +3.0419e+00 -8.9931e-02 +3.8128e-01 +2.0235e+00 -1.8630e+00 -1.0980e+00 -6.4472e-01
4802 +2.490621225e+01 +2.490621225e+01 -2.422378775e+01 -2.422378775e+01 +2.8647e+00 +4.4849e+00 +2.1946e+00 -2.6922e-01 +4.2444e+00 +2.8292e+00 -4.0120e+00 +5.0938e+00 +4.2681e+00 +3.5216e+00 -3.0514e+00 -2.9515e+00 +3.9755e+00 +2.7657e+00 +9.6892e-01 -7.7224e-01 +8.4764e-01 -2.9324e+00 +1.3235e+00 -2.6221e+00
5727 +1.260737338e+01 +1.260737338e+01 -3.652262662e+01 -3.652262662e+01 +3.3144e+00 +3.0370e+00 +3.3553e+00 -2.0121e-01 +4.6806e+00 +2.3424e+00 -3.0670e+00 +4.5454e+00 +3.3262e+00 +4.7252e+00 -5.2240e+00 -1.8333e+00 +2.9700e+00 +2.7554e+00 +2.0060e+00 -3.4968e-01 +1.5148e+00 -2.0332e+00 -5.9166e-01 -1.7592e+00
6039 +8.616124542e+00 +8.616124542e+00 -4.051387546e+01 -4.051387546e+01 +1.1988e+00 +3.5058e+00 +2.3026e+00 -6.8555e-01 +5.4167e+00 +2.5488e+00 -2.8131e+00 +4.5220e+00 +4.1189e+00 +3.4354e+00 -4.3788e+00 -1.1413e+00 +3.2678e+00 +3.6616e+00 +1.4501e+00 -1.1452e+00 +2.8723e+00 -2.0787e+00 -9.5451e-01 -3.4531e+00
7607 +5.552124066e+00 +5.552124066e+00 -4.357787593e+01 -4.357787593e+01 +1.0890e+00 +3.3496e+00 +2.8911e+00 -9.9804e-01 +4.6069e+00 +3.3808e+00 -2.8233e+00 +4.5513e+00 +3.4223e+00 +4.0237e+00 -3.6171e+00 -1.1435e+00 +2.3714e+00 +4.0086e+00 +1.8612e+00 +5.7897e-01 +2.6331e+00 -2.3450e+00 -1.1941e+00 -2.6520e+00
