% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.435831552e+05 +1.435831552e+05 +1.445831552e+05 +1.445831552e+05 +2.7925e+00 +2.7706e+00 +4.3118e+00 -1.9126e+00 -1.0614e+00 +1.8229e-01 -1.9948e+00 -2.8155e+00 +4.1062e+00 +1.1403e+00 -3.7800e+00 +2.2088e+00 -2.1763e+00 +3.3080e+00 -3.1138e-01 -1.8625e+00 +4.3038e+00 -4.1925e-01 -3.6069e+00 -1.1413e+00
5 +9.827109172e+04 +9.827109172e+04 +9.927109172e+04 +9.927109172e+04 +3.9922e+00 -3.0192e+00 -2.6956e+00 -2.9997e+00 -2.6260e+00 +1.9940e+00 -1.2704e+00 +1.9923e+00 +4.1371e+00 +1.1180e+00 -3.2641e+00 -1.4270e+00 +4.4477e+00 -3.5780e+00 +2.4472e+00 -1.9628e+00 -2.6013e+00 -6.5617e-01 +2.0466e+00 +2.0470e+00
28 +4.867904049e+04 +4.867904049e+04 +4.967904049e+04 +4.967904049e+04 +1.0446e+00 +3.3023e-01 -3.2738e+00 -4.5512e+00 +3.1359e-01 +1.4471e+00 -1.4509e+00 -4.3025e+00 +3.3807e+00 +1.4905e+00 -3.8386e+00 -2.0899e+00 -1.9625e+00 +1.2768e+00 -2.5050e+00 -1.8001e+00 +5.3197e-01 -3.5036e+00 -2.2239e+00 +6.1606e-01
32 +2.278631644e+04 +2.278631644e+04 +2.378631644e+04 +2.378631644e+04 +4.2321e+00 -7.2287e-01 -4.1631e+00 -1.0889e-01 +2.3948e+00 -4.5668e-01 +1.4110e+00 -1.4757e+00 +1.4632e+00 -3.2837e+00 -4.1852e+00 +1.4528e+00 -4.0634e+00 -2.1944e+00 -7.1591e-01 -4.0058e+00 -9.7129e-01 -2.0278e+00 -2.7559e+00 +9.5859e-01
708 +8.206869484e+03 +8.206869484e+03 +9.206869484e+03 +9.206869484e+03 +3.5268e+00 -2.4376e+00 -1.6716e+00 +1.0357e+00 -2.6997e+00 -1.2970e-01 -1.1932e-02 -1.4576e-01 +6.9356e-01 +4.4455e-01 -2.8603e+00 -1.5468e+00 -7.2323e-01 +3.6094e-01 -2.8153e+00 -3.5271e-01 -1.7189e+00 +6.1663e-01 -3.3258e+00 +1.4449e+00
1501 +6.292323349e+03 +6.292323349e+03 +7.292323349e+03 +7.292323349e+03 +2.0919e+00 -1.6528e+00 -2.3804e+00 -1.5196e+00 -3.6587e+00 +2.1700e+00 -3.0993e+00 +1.5791e+00 -8.3786e-01 +7.3803e-01 -1.2073e+00 +7.0976e-01 -2.5336e+00 -1.7632e+00 -1.9997e+00 -3.2886e-01 -3.7330e+00 -1.0798e+00 -2.9291e-01 +1.0247e+00
2159 +3.928135999e+03 +3.928135999e+03 +4.928135999e+03 +4.928135999e+03 +2.1841e-01 -2.3232e+00 -2.4914e+00 -3.5821e+00 -1.8311e+00 +5.9645e-01 -2.9775e+00 +1.6094e+00 +3.9528e-01 +7.9039e-01 -9.2535e-01 -7.7771e-01 -1.7667e+00 -2.1655e+00 -1.3806e+00 -5.4671e-01 -2.7952e+00 +4.5803e-01 -1.5639e+00 +2.5320e+00
2210 +2.356046749e+03 +2.356046749e+03 +3.356046749e+03 +3.356046749e+03 +2.2256e-01 -2.8585e+00 +1.2965e+00 -4.1460e+00 +1.3043e-01 +3.2312e+00 +9.5551e-03 +1.6811e+00 -1.4634e+00 +4.9244e-02 -1.0431e+00 +1.0234e-01 -1.1297e+00 -3.2575e+00 -1.1793e+00 -9.9648e-01 -2.4251e+00 -8.3940e-01 -2.3609e+00 +1.2804e+00
2474 +1.379285047e+03 +1.379285047e+03 +2.379285047e+03 +2.379285047e+03 -1.5020e+00 -1.8621e+00 -2.6611e+00 -2.3130e+00 -1.4385e-01 +3.5824e+00 -1.1625e+00 +1.9216e+00 +1.1213e+00 -7.0602e-02 -1.6130e+00 +3.9144e-01 +1.0544e-01 -2.0446e+00 -1.4492e+00 -9.2694e-01 -1.7244e+00 -2.4680e+00 -2.1474e+00 +1.6207e+00
2627 +6.839198448e+02 +6.839198448e+02 +1.683919845e+03 +1.683919845e+03 +2.7854e-01 +2.1764e+00 -3.2047e+00 +4.9241e-01 -9.8398e-01 -5.1343e-01 -1.1008e+00 +1.2021e+00 +5.2587e-01 -2.5208e+00 +6.6132e-01 -3.0049e-01 -1.3636e+00 -1.2798e+00 +4.5116e-02 -1.5710e+00 -1.2378e+00 -1.6968e+00 -1.2146e+00 +1.4986e+00
