% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
50 +5.002864161e+01 +5.002864161e+01 +6.883864161e+01 +6.883864161e+01 +1.4237e+00 -1.0243e+00 -6.0869e-01 +3.9359e+00 +2.2891e+00 -4.1068e+00 +6.0207e-01 -2.9569e+00 +4.9215e-01 +5.5998e-01 -6.3584e-01 +2.7356e+00 +2.7641e+00 +2.0194e+00 +2.4326e+00 +3.0510e+00 -4.4948e-01 +4.7554e+00 -3.9337e-01 +1.9616e+00
133 +3.425194777e+01 +3.425194777e+01 +5.306194777e+01 +5.306194777e+01 +2.5396e+00 -5.6329e-01 -1.7000e+00 +3.3168e+00 +1.4607e+00 -2.9965e+00 +4.2581e+00 -2.4912e+00 +2.3753e-01 +2.2819e+00 -1.0998e+00 +3.3975e+00 +3.6096e+00 +0.0000e+00 +3.1507e+00 +0.0000e+00 -3.1988e+00 +5.0000e+00 -7.2289e-02 -2.9530e+00
665 +2.470628310e+01 +2.470628310e+01 +4.351628310e+01 +4.351628310e+01 -3.8557e-01 +2.2962e-01 -1.8225e+00 +1.4247e+00 +0.0000e+00 -3.3746e+00 +3.5197e+00 -2.5481e+00 +2.5066e+00 +2.1944e+00 -1.5895e+00 +4.1869e+00 +4.3644e+00 -1.3310e+00 +3.3960e-01 -3.4580e+00 -1.8105e+00 +1.3385e+00 +1.2624e+00 +1.3041e+00
1431 +1.364897983e+01 +1.364897983e+01 +3.245897983e+01 +3.245897983e+01 -1.5224e-01 +1.6060e+00 -6.5486e-01 +1.5506e+00 +1.4463e+00 -5.0000e+00 -3.2200e-01 -9.2601e-01 +8.0335e-01 +1.7594e+00 -2.8000e+00 +3.8272e+00 +4.3040e+00 -3.2430e-01 -1.2982e-01 -1.0407e+00 -8.8357e-01 +3.5213e+00 +2.0466e+00 +8.0641e-01
1652 +9.915587537e+00 +9.915587537e+00 +2.872558754e+01 +2.872558754e+01 +5.0738e-01 +1.8604e+00 -1.1493e+00 +8.3393e-01 +3.6175e+00 -4.8397e+00 -9.4280e-01 -1.1294e+00 +7.9397e-01 +1.7265e+00 -2.3585e+00 +3.5885e+00 +4.5730e+00 -1.2786e+00 -1.0416e+00 -2.2344e+00 -6.3579e-01 +3.4311e+00 +1.8010e+00 +1.9953e+00
3742 +6.013175915e+00 +6.013175915e+00 +2.482317592e+01 +2.482317592e+01 +5.0275e-01 +1.3692e+00 -1.5880e+00 +4.7642e-01 +1.4650e+00 -4.3589e+00 +4.2613e-02 -5.6736e-01 +5.4618e-01 +2.1549e+00 -3.1150e+00 +4.0538e+00 +4.3472e+00 -6.7152e-01 -1.6640e+00 -2.2894e+00 -2.1019e+00 +3.1317e+00 +1.2263e+00 +1.6796e+00
6283 +3.958734450e+00 +3.958734450e+00 +2.276873445e+01 +2.276873445e+01 +5.2486e-01 +1.5571e+00 -1.6557e+00 +2.9159e-01 +1.5483e+00 -4.3222e+00 +1.4048e-01 -8.1371e-01 +2.1491e-01 +2.7730e+00 -3.3312e+00 +4.0887e+00 +3.4234e+00 +3.5664e-01 -1.8778e+00 -2.4395e+00 -2.3743e+00 +3.3018e+00 +1.1511e+00 +1.5714e+00
8419 +2.380002606e+00 +2.380002606e+00 +2.119000261e+01 +2.119000261e+01 +5.9897e-01 +1.3955e+00 -7.4961e-01 +5.4055e-01 +1.9142e+00 -4.7786e+00 -7.2703e-01 -8.2456e-01 +7.1451e-02 +2.8385e+00 -3.3143e+00 +4.0708e+00 +3.7555e+00 -2.7163e-02 -1.9754e+00 -2.2500e+00 -1.7176e+00 +3.1079e+00 +1.2523e+00 +1.5859e+00
13653 +1.539243356e+00 +1.539243356e+00 +2.034924336e+01 +2.034924336e+01 +5.9880e-01 +1.3997e+00 -7.8459e-01 +5.0453e-01 +2.0017e+00 -4.7911e+00 -7.2456e-01 -8.4774e-01 +7.0337e-02 +2.8378e+00 -3.3560e+00 +4.1330e+00 +3.7491e+00 -4.2264e-02 -1.9795e+00 -2.2593e+00 -1.7461e+00 +3.1043e+00 +1.2588e+00 +1.5814e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
